,AAPL,TSLA,GOOGL,MSFT,WDC
2011-09-23,57.757141000000004,26.379998999999998,263.01800499999996,25.059998999999998,26.440001000000002
2011-09-26,57.595715000000006,25.52,266.211212,25.440001000000002,27.790001
2011-09-27,57.037144,26.190001000000002,269.93994100000003,25.67,28.09
2011-09-28,56.715714,24.59,264.684692,25.58,27.01
2011-09-29,55.795715,24.120001000000002,264.014008,25.450001,26.74
2011-09-30,54.474284999999995,24.389999,257.777771,24.889999,25.719998999999998
2011-10-03,53.514286,23.73,248.00801099999998,24.530001000000002,24.6
2011-10-04,53.214287,23.66,251.201202,25.34,25.379998999999998
2011-10-05,54.035713,25.370001000000002,252.6026,25.889999,26.950001
2011-10-06,53.91,26.959999,257.61261,26.34,27.48
2011-10-07,52.828571,26.99,257.81781,26.25,26.940001000000002
2011-10-10,55.544284999999995,27.879998999999998,268.85385099999996,26.940001000000002,27.93
2011-10-11,57.184284,27.610001,271.861847,27.0,28.879998999999998
2011-10-12,57.455715000000005,27.799999,274.524536,26.959999,27.549999
2011-10-13,58.347141,27.940001000000002,279.77477999999996,27.18,28.66
2011-10-14,60.285713,28.049999,296.136139,27.27,28.34
2011-10-17,59.998573,27.42,291.49649,26.98,26.25
2011-10-18,60.32,28.34,295.550537,27.309998999999998,26.940001000000002
2011-10-19,56.945713,27.57,290.640656,27.129998999999998,24.440001000000002
2011-10-20,56.472857999999995,27.34,292.127136,27.040001,25.959999
2011-10-21,56.124287,28.030001000000002,295.540527,27.16,25.969998999999998
2011-10-24,57.967144,28.549999,298.508514,27.190001000000002,27.25
2011-10-25,56.824287,28.25,291.871857,26.809998999999998,26.360001
2011-10-26,57.228573,27.98,293.448456,26.59,27.91
2011-10-27,57.812858999999996,28.76,299.634644,27.25,27.42
2011-10-28,57.849998,29.870001000000002,300.370361,26.98,27.299999
2011-10-31,57.825714000000005,29.370001000000002,296.616608,26.629998999999998,26.639999
2011-11-01,56.644287,28.879998999999998,289.61462400000005,25.99,26.5
2011-11-02,56.77285799999999,28.709999,292.702698,26.01,27.309998999999998
2011-11-03,57.58142900000001,32.459998999999996,299.049042,26.530001000000002,28.440001000000002
2011-11-04,57.17714300000001,32.310001,298.368378,26.25,27.950001
2011-11-07,57.104286,31.27,304.46948199999997,26.799999,27.68
2011-11-08,58.032856,31.84,306.476471,27.16,27.790001
2011-11-09,56.468571,30.879998999999998,300.77578700000004,26.200001,26.01
2011-11-10,55.031429,31.33,297.83783,26.280001000000002,25.790001
2011-11-11,54.945713,33.639998999999996,304.479492,26.91,26.620001000000002
2011-11-14,54.18,33.220001,306.806793,26.76,26.34
2011-11-15,55.547142,33.93,308.588593,26.74,25.049999
2011-11-16,54.967144,34.939999,306.041046,26.07,26.82
2011-11-17,53.915714,33.68,300.735748,25.540001,25.26
2011-11-18,53.562858999999996,32.599998,297.737732,25.299999,26.040001
2011-11-21,52.715714,31.76,290.760773,25.0,26.110001
2011-11-22,53.787144,32.07,290.290283,24.790001,25.780001000000002
2011-11-23,52.427143,31.450001,285.340332,24.469998999999998,25.59
2011-11-25,51.938572,31.66,281.781769,24.299999,25.0
2011-11-28,53.73143,32.560001,294.389404,24.870001000000002,26.559998999999998
2011-11-29,53.314285,31.75,291.75674399999997,24.84,27.51
2011-11-30,54.599998,32.740002000000004,299.994995,25.58,29.07
2011-12-01,55.41857099999999,32.599998,307.1922,25.280001000000002,29.25
2011-12-02,55.671429,33.299999,310.490479,25.219998999999998,31.440001000000002
2011-12-05,56.144287,34.419998,313.138153,25.700001,32.009997999999996
2011-12-06,55.849998,34.869999,312.197205,25.66,31.68
2011-12-07,55.584286,34.189999,312.007019,25.6,31.82
2011-12-08,55.80857099999999,30.889999,308.333344,25.4,31.530001000000002
2011-12-09,56.23143,31.040001,314.024017,25.700001,32.380001
2011-12-12,55.97714200000001,30.41,313.007996,25.51,31.940001000000002
2011-12-13,55.544284999999995,29.450001,313.128143,25.76,31.059998999999998
2011-12-14,54.312858999999996,28.530001000000002,309.34432999999996,25.59,30.51
2011-12-15,54.134285,28.620001000000002,310.08007799999996,25.559998999999998,30.67
2011-12-16,54.431427,28.0,313.293304,26.0,30.950001
2011-12-19,54.601429,27.75,311.226227,25.530001000000002,30.639999
2011-12-20,56.564285,27.9,315.50048799999996,26.030001000000002,31.889999
2011-12-21,56.635715000000005,27.57,313.223236,25.76,31.4
2011-12-22,56.935715,27.77,315.165161,25.809998999999998,31.709999
2011-12-23,57.618572,27.9,316.886902,26.030001000000002,32.139998999999996
2011-12-27,58.075714000000005,28.57,320.44543500000003,26.040001,31.23
2011-12-28,57.52,28.51,320.170166,25.82,30.76
2011-12-29,57.874287,28.73,321.52151499999997,26.02,31.1
2011-12-30,57.85714300000001,28.559998999999998,323.273285,25.959999,30.950001
2012-01-03,58.74714300000001,28.08,333.038025,26.77,30.98
2012-01-04,59.062858999999996,27.709999,334.474487,27.4,31.299999
2012-01-05,59.718571,27.120001000000002,329.834839,27.68,32.759997999999996
2012-01-06,60.342856999999995,26.91,325.335327,28.110001,33.490002000000004
2012-01-09,60.24714300000001,27.25,311.541534,27.74,33.75
2012-01-10,60.462856,27.620001000000002,311.88189700000004,27.84,33.529999
2012-01-11,60.364284999999995,28.23,313.293304,27.719998999999998,33.360001000000004
2012-01-12,60.19857,28.25,315.135132,28.0,33.860001000000004
2012-01-13,59.972857999999995,22.790001,312.8078,28.25,33.349998
2012-01-17,60.671429,26.6,314.604614,28.26,33.09
2012-01-18,61.30143,26.809998999999998,316.771759,28.23,33.66
2012-01-19,61.10714300000001,26.76,320.105103,28.120001000000002,33.950001
2012-01-20,60.042857999999995,26.6,293.2883,29.709999,34.650002
2012-01-23,61.05857099999999,26.77,293.05304,29.73,34.709998999999996
2012-01-24,60.05857099999999,27.42,290.755768,29.34,36.880001
2012-01-25,63.80857099999999,27.969998999999998,285.030029,29.559998999999998,37.400002
2012-01-26,63.51857,28.940001000000002,284.33432,29.5,37.009997999999996
2012-01-27,63.897144,29.33,290.280273,29.23,37.049999
2012-01-30,64.715714,29.57,289.134125,29.610001,36.869999
2012-01-31,65.211426,29.07,290.34533700000003,29.530001000000002,36.349998
2012-02-01,65.16999799999999,29.58,290.705719,29.889999,38.029999
2012-02-02,65.017143,30.25,292.847839,29.950001,37.57
2012-02-03,65.668571,31.15,298.46347000000003,30.24,38.580002
2012-02-06,66.281425,31.799999,304.849854,30.200001,38.720001
2012-02-07,66.975716,31.6,303.68869,30.35,38.880001
2012-02-08,68.097145,31.93,305.230225,30.66,39.77
2012-02-09,70.45285799999999,32.580002,306.036041,30.77,39.189999
2012-02-10,70.488571,31.1,303.25827000000004,30.5,38.57
2012-02-13,71.800003,31.49,306.40640299999995,30.58,38.169998
2012-02-14,72.779999,33.169998,305.185181,30.25,39.139998999999996
2012-02-15,71.095711,33.599998,303.08306899999997,30.049999,38.299999
2012-02-16,71.744286,34.18,303.56356800000003,31.290001,40.59
2012-02-17,71.73143,34.970001,302.62262000000004,31.25,40.450001
2012-02-21,73.550003,34.5,307.307312,31.440001000000002,40.240002000000004
2012-02-22,73.291428,34.220001,304.27426099999997,31.27,39.560001
2012-02-23,73.769997,34.529999,303.35836800000004,31.370001000000002,39.700001
2012-02-24,74.629997,33.75,305.25524900000005,31.48,39.779999
2012-02-27,75.108574,33.619999,304.95996099999996,31.35,38.790001000000004
2012-02-28,76.487144,33.810001,309.50451699999996,31.870001000000002,39.380001
2012-02-29,77.49143199999999,33.41,309.434448,31.74,39.25
2012-03-01,77.781425,34.41,311.511505,32.290001000000004,39.860001000000004
2012-03-02,77.882858,34.040001000000004,310.935944,32.080002,38.93
2012-03-05,76.165718,33.77,307.432434,31.799999,38.470001
2012-03-06,75.751427,33.110001000000004,302.78277599999996,31.559998999999998,37.220001
2012-03-07,75.812859,33.119999,303.70370499999996,31.84,37.869999
2012-03-08,77.427139,33.07,303.873871,32.009997999999996,38.98
2012-03-09,77.88143199999999,34.740002000000004,300.425415,31.99,40.32
2012-03-12,78.85714,36.009997999999996,302.877869,32.040001000000004,39.630001
