,polarity,subjectivity,max_polarity
2014-01-12,0.3,0.3,0.5
2014-01-19,0.04234006734006734,0.1547138047138047,0.21666666666666665
2014-01-26,0.016594516594516596,0.052669552669552665,0.21212121212121213
2014-02-02,0.09707792207792207,0.2295454545454545,0.35
2014-02-09,0.04615384615384616,0.04615384615384616,0.2
2014-02-16,0.0,0.0,0.0
2014-02-23,0.03265993265993266,0.22306397306397308,0.13636363636363635
2014-03-02,0.08689839572192512,0.10561497326203208,0.5
2014-03-09,-0.05789473684210528,0.16140350877192985,0.5
2014-03-16,-0.020000000000000004,0.03166666666666667,0.0
2014-03-23,0.026136363636363638,0.15532296650717706,0.13636363636363635
2014-03-30,0.09722222222222222,0.2444444444444445,0.4
2014-04-06,0.0862962962962963,0.17148148148148148,0.4166666666666667
